date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:57	25047/25047	---M--	200	added ('OK')	text/html	etag:%225cbec662-61d7%22	http://ninja.allexample.com/index.htm	D:/webdownload/ninja/ninja.allexample.com/index.html	(from )
23:07:58	169/169	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202019%2015:07:58%20GMT	http://ninja.allexample.com/robots.txt		(from )
23:08:00	107282/107282	---M--	200	added ('OK')	text/css	etag:%225cbec673-1a312%22	http://ninja.allexample.com/apache-maven-fluido-1.3.1.min.css	D:/webdownload/ninja/ninja.allexample.com/apache-maven-fluido-1.3.1.min.css	(from http://ninja.allexample.com/index.htm)
23:08:21	2476/2476	---M--	200	added ('OK')	text/css	etag:%225cbec63d-9ac%22	http://ninja.allexample.com/site.css	D:/webdownload/ninja/ninja.allexample.com/site.css	(from http://ninja.allexample.com/index.htm)
23:08:23	2475/2475	---M-Z	200	added ('OK')	text/css	etag:W/%225d9a1aa4-9ab%22	http://www.ninjaframework.org/css/site.css	D:/webdownload/ninja/www.ninjaframework.org/css/site.css	(from http://ninja.allexample.com/index.htm)
23:08:23	1106/1106	---M--	200	added ('OK')	text/css	etag:%225cbec642-452%22	http://ninja.allexample.com/print.css	D:/webdownload/ninja/ninja.allexample.com/print.css	(from http://ninja.allexample.com/index.htm)
23:08:25	169/169	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202019%2015:08:26%20GMT	http://ninja.allexample.com/favicon.png	D:/webdownload/ninja/ninja.allexample.com/favicon.8.delayed	(from http://ninja.allexample.com/index.htm)
23:08:26	224/224	---M--	200	added ('OK')	text/css	etag:%225cbec668-e0%22	http://ninja.allexample.com/css-family=Titillium+Web.css	D:/webdownload/ninja/ninja.allexample.com/css-family=Titillium+Web.css	(from http://ninja.allexample.com/index.htm)
23:08:26	216/216	---M--	200	added ('OK')	text/css	etag:%225cbec668-d8%22	http://ninja.allexample.com/css-family=Inconsolata.css	D:/webdownload/ninja/ninja.allexample.com/css-family=Inconsolata.css	(from http://ninja.allexample.com/index.htm)
23:08:26	22441/22441	---M--	200	added ('OK')	text/css	etag:%225cbec665-57a9%22	http://ninja.allexample.com/font-awesome.min.css	D:/webdownload/ninja/ninja.allexample.com/font-awesome.min.css	(from http://ninja.allexample.com/index.htm)
